epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6068,2.55698,6.0069,2.56193,0.00186,0.35901,0.0574,0.02147,2.26314,5.81019,2.46185,0.0002352,0.0002352,0.0002352
2,97.851,2.16086,4.65948,2.18101,0.49227,0.07047,0.08805,0.03873,2.20135,4.98753,2.10413,0.000426353,0.000426353,0.000426353
3,135.9,2.02974,4.09549,2.02097,0.73766,0.16427,0.17502,0.08295,2.30336,4.54802,2.25216,0.000570382,0.000570382,0.000570382
4,174.106,2.04349,3.73315,1.95363,0.55755,0.21756,0.20448,0.10188,2.13569,4.20508,2.12399,0.000501942,0.000501942,0.000501942
5,215.483,1.927,3.20659,1.91155,0.57357,0.25319,0.26698,0.13401,1.91582,3.39771,1.9716,0.000431256,0.000431256,0.000431256
6,253.62,1.86023,2.84914,1.831,0.56865,0.44901,0.4619,0.22508,1.99539,2.84825,2.00579,0.00036057,0.00036057,0.00036057
7,291.9,1.7915,2.54984,1.75686,0.3938,0.34699,0.35995,0.19028,1.87919,2.81953,1.9013,0.000289884,0.000289884,0.000289884
8,330.049,1.72352,2.33247,1.72264,0.7032,0.46243,0.55542,0.3144,1.8028,2.48084,1.81461,0.000219198,0.000219198,0.000219198
9,367.819,1.65495,2.09702,1.64959,0.72522,0.54523,0.55998,0.33245,1.765,2.20496,1.73018,0.000148512,0.000148512,0.000148512
10,408.755,1.58163,1.9094,1.58597,0.66959,0.65024,0.77684,0.44663,1.72668,2.05439,1.74449,7.7826e-05,7.7826e-05,7.7826e-05
