epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6329,2.20078,3.49471,1.28126,0.00772,0.46752,0.01319,0.00576,2.072,4.6486,1.22321,0.000547247,0.000547247,0.000547247
2,111.1,2.12241,2.20862,1.21529,0.55313,0.4874,0.48113,0.17549,2.15896,2.52725,1.19423,0.00104832,0.00104832,0.00104832
3,171.899,2.13571,1.80995,1.25294,0.69569,0.56058,0.56972,0.19657,2.16887,2.16104,1.26318,0.00149438,0.00149438,0.00149438
4,232.261,2.07851,1.51314,1.21982,0.65202,0.59263,0.58206,0.21767,2.0858,1.6766,1.20821,0.00141945,0.00141945,0.00141945
5,292.197,2.06325,1.38674,1.21344,0.7105,0.59146,0.59706,0.20136,2.11448,1.39952,1.21211,0.00133693,0.00133693,0.00133693
6,351.878,2.02446,1.23169,1.19803,0.68617,0.56149,0.62024,0.25311,2.00834,1.33278,1.18449,0.00125442,0.00125442,0.00125442
7,412.997,2.02931,1.2007,1.17466,0.76407,0.63565,0.66868,0.2661,1.981,1.17835,1.16783,0.0011719,0.0011719,0.0011719
8,473.675,2.01062,1.1471,1.20127,0.74795,0.63169,0.64572,0.26723,1.9841,1.14151,1.14305,0.00108938,0.00108938,0.00108938
9,530.322,2.00516,1.13007,1.18947,0.73387,0.66374,0.67694,0.28637,1.89876,1.13826,1.13362,0.00100687,0.00100687,0.00100687
10,589.919,1.97297,1.06989,1.18228,0.77752,0.65628,0.68152,0.27433,2.02034,1.05985,1.18115,0.000924352,0.000924352,0.000924352
11,670.364,1.98456,1.09686,1.20417,0.76549,0.67204,0.71461,0.29977,1.95801,1.09124,1.13385,0.000841835,0.000841835,0.000841835
12,734.391,1.91964,1.0774,1.17019,0.80905,0.65759,0.73285,0.3236,1.87967,1.03009,1.09946,0.000759318,0.000759318,0.000759318
13,786.819,1.91906,1.0644,1.18543,0.79843,0.69183,0.75001,0.31847,1.91974,1.01608,1.12781,0.000676802,0.000676802,0.000676802
14,838.919,1.91705,1.04732,1.18173,0.82019,0.69622,0.7503,0.32433,1.87972,0.98238,1.10775,0.000594286,0.000594286,0.000594286
15,891.231,1.88394,1.00289,1.14685,0.82677,0.69579,0.75368,0.34225,1.84585,0.94504,1.1053,0.000511769,0.000511769,0.000511769
16,951.043,1.85242,0.97344,1.14375,0.80036,0.70018,0.76443,0.36039,1.79156,0.93064,1.07857,0.000429253,0.000429253,0.000429253
17,1003.76,1.84575,0.9733,1.15067,0.81897,0.70983,0.77469,0.35636,1.82037,0.92364,1.08584,0.000346736,0.000346736,0.000346736
18,1057.41,1.82763,0.92325,1.12175,0.83093,0.71071,0.78591,0.37489,1.7798,0.88709,1.06925,0.00026422,0.00026422,0.00026422
19,1109.96,1.80805,0.92049,1.11315,0.83695,0.73529,0.79408,0.37172,1.78445,0.89891,1.06769,0.000181703,0.000181703,0.000181703
20,1162.08,1.7889,0.89187,1.11413,0.84685,0.73309,0.80332,0.3824,1.76819,0.86928,1.06421,9.91865e-05,9.91865e-05,9.91865e-05
